text,level,tag,url
 两数之和,0,"array, hash-table",https://leetcode.cn/problems/two-sum/description
 寻找两个正序数组的中位数,2,"array, binary-search, divide-and-conquer",https://leetcode.cn/problems/median-of-two-sorted-arrays/description
 盛最多水的容器,1,"array, greedy, two-pointers",https://leetcode.cn/problems/container-with-most-water/description
 三数之和,1,"array, sorting, two-pointers",https://leetcode.cn/problems/3sum/description
 最接近的三数之和,1,"array, sorting, two-pointers",https://leetcode.cn/problems/3sum-closest/description
 四数之和,1,"array, sorting, two-pointers",https://leetcode.cn/problems/4sum/description
 删除有序数组中的重复项,0,"array, two-pointers",https://leetcode.cn/problems/remove-duplicates-from-sorted-array/description
 移除元素,0,"array, two-pointers",https://leetcode.cn/problems/remove-element/description
 下一个排列,1,"array, two-pointers",https://leetcode.cn/problems/next-permutation/description
 搜索旋转排序数组,1,"array, binary-search",https://leetcode.cn/problems/search-in-rotated-sorted-array/description
 在排序数组中查找元素的第一个和最后一个位置,1,"array, binary-search",https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/description
 搜索插入位置,0,"array, binary-search",https://leetcode.cn/problems/search-insert-position/description
 有效的数独,1,"array, hash-table, matrix",https://leetcode.cn/problems/valid-sudoku/description
 解数独,2,"array, backtracking, hash-table, matrix",https://leetcode.cn/problems/sudoku-solver/description
 组合总和,1,"array, backtracking",https://leetcode.cn/problems/combination-sum/description
 组合总和 II,1,"array, backtracking",https://leetcode.cn/problems/combination-sum-ii/description
 缺失的第一个正数,2,"array, hash-table",https://leetcode.cn/problems/first-missing-positive/description
 接雨水,2,"array, dynamic-programming, monotonic-stack, stack, two-pointers",https://leetcode.cn/problems/trapping-rain-water/description
 跳跃游戏 II,1,"array, dynamic-programming, greedy",https://leetcode.cn/problems/jump-game-ii/description
 全排列,1,"array, backtracking",https://leetcode.cn/problems/permutations/description
 全排列 II,1,"array, backtracking",https://leetcode.cn/problems/permutations-ii/description
 旋转图像,1,"array, math, matrix",https://leetcode.cn/problems/rotate-image/description
 字母异位词分组,1,"array, hash-table, sorting, string",https://leetcode.cn/problems/group-anagrams/description
 N 皇后,2,"array, backtracking",https://leetcode.cn/problems/n-queens/description
 最大子数组和,1,"array, divide-and-conquer, dynamic-programming",https://leetcode.cn/problems/maximum-subarray/description
 螺旋矩阵,1,"array, matrix, simulation",https://leetcode.cn/problems/spiral-matrix/description
 跳跃游戏,1,"array, dynamic-programming, greedy",https://leetcode.cn/problems/jump-game/description
 合并区间,1,"array, sorting",https://leetcode.cn/problems/merge-intervals/description
 插入区间,1,array,https://leetcode.cn/problems/insert-interval/description
 螺旋矩阵 II,1,"array, matrix, simulation",https://leetcode.cn/problems/spiral-matrix-ii/description
 不同路径 II,1,"array, dynamic-programming, matrix",https://leetcode.cn/problems/unique-paths-ii/description
 最小路径和,1,"array, dynamic-programming, matrix",https://leetcode.cn/problems/minimum-path-sum/description
 加一,0,"array, math",https://leetcode.cn/problems/plus-one/description
 文本左右对齐,2,"array, simulation, string",https://leetcode.cn/problems/text-justification/description
 矩阵置零,1,"array, hash-table, matrix",https://leetcode.cn/problems/set-matrix-zeroes/description
 搜索二维矩阵,1,"array, binary-search, matrix",https://leetcode.cn/problems/search-a-2d-matrix/description
 颜色分类,1,"array, sorting, two-pointers",https://leetcode.cn/problems/sort-colors/description
 子集,1,"array, backtracking, bit-manipulation",https://leetcode.cn/problems/subsets/description
 单词搜索,1,"array, backtracking, matrix, string",https://leetcode.cn/problems/word-search/description
 删除有序数组中的重复项 II,1,"array, two-pointers",https://leetcode.cn/problems/remove-duplicates-from-sorted-array-ii/description
 搜索旋转排序数组 II,1,"array, binary-search",https://leetcode.cn/problems/search-in-rotated-sorted-array-ii/description
 柱状图中最大的矩形,2,"array, monotonic-stack, stack",https://leetcode.cn/problems/largest-rectangle-in-histogram/description
 最大矩形,2,"array, dynamic-programming, matrix, monotonic-stack, stack",https://leetcode.cn/problems/maximal-rectangle/description
 合并两个有序数组,0,"array, sorting, two-pointers",https://leetcode.cn/problems/merge-sorted-array/description
 子集 II,1,"array, backtracking, bit-manipulation",https://leetcode.cn/problems/subsets-ii/description
 从前序与中序遍历序列构造二叉树,1,"array, binary-tree, divide-and-conquer, hash-table, tree",https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description
 从中序与后序遍历序列构造二叉树,1,"array, binary-tree, divide-and-conquer, hash-table, tree",https://leetcode.cn/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description
 将有序数组转换为二叉搜索树,0,"array, binary-search-tree, binary-tree, divide-and-conquer, tree",https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/description
 杨辉三角,0,"array, dynamic-programming",https://leetcode.cn/problems/pascals-triangle/description
 杨辉三角 II,0,"array, dynamic-programming",https://leetcode.cn/problems/pascals-triangle-ii/description
 三角形最小路径和,1,"array, dynamic-programming",https://leetcode.cn/problems/triangle/description
 买卖股票的最佳时机,0,"array, dynamic-programming",https://leetcode.cn/problems/best-time-to-buy-and-sell-stock/description
 买卖股票的最佳时机 II,1,"array, dynamic-programming, greedy",https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-ii/description
